id,name,description,city,country,capacity
9dcf9732-1d0d-48e1-84ae-492f1eeb865a,Moss and Sons,Virtual high-level application,Budapest,Hungary,318
1a108bdd-d8f8-459c-b3ab-07835d4cd83d,Crawford Ltd,Ameliorated high-level forecast,Madrid,Spain,76
61f029ea-2c84-426c-8789-3b45d609ac30,"Hoover, Smith and Gould",Synergistic system-worthy forecast,Warsaw,Poland,73
0cbec949-c30d-4260-9fef-5c7cd3ea48d3,Hernandez Inc,Devolved 24hour portal,Budapest,Hungary,86
8f3d5aff-1225-4478-b6b6-96105cd67332,"Beard, Barrett and Byrd",Face-to-face optimal adapter,Vienna,Austria,252
51be244c-1f25-45a1-93f4-478473c70054,"Greer, Bradford and Barton",De-engineered cohesive interface,Madrid,Spain,316
916578c6-ccab-4f72-9814-d38566bc3fd9,"Blackwell, Martin and Johnson",Digitized modular knowledgebase,Berlin,Germany,173
ebebeed1-b457-48ad-b620-8e88a8cf7841,"Arnold, Zhang and Scott",Profound 3rdgeneration hierarchy,Rome,Italy,165
ac8fad8e-16a4-425e-bce9-b62565d4c8b8,"Boyd, Ellis and Hunt",Fundamental value-added Internet solution,Berlin,Germany,471
c14712a7-74e3-4fd9-a74d-dbdb790363d9,Fisher Ltd,Front-line human-resource concept,Amsterdam,Netherlands,396
4d946d89-8158-45f6-a4b3-0b3aed2de2fa,Hernandez Ltd,Synergistic intermediate paradigm,Berlin,Germany,39
4c90f09b-92d5-41b7-9f18-af40143db697,Davis-Dennis,Pre-emptive actuating Internet solution,London,United Kingdom,396
b6550f31-b840-464d-a736-264f116445eb,"Thomas, Campos and Levine",Advanced intermediate algorithm,Madrid,Spain,423
275024f5-07d6-485f-800b-c345d7bbc2dd,Dean Group,Integrated full-range challenge,Madrid,Spain,176
b86145ef-5a6f-46e2-9bcb-ab94d1287e21,Bowen Ltd,Reactive bandwidth-monitored knowledgebase,Amsterdam,Netherlands,316
ddb166c7-bbf7-4b23-866c-296ae096a203,Davis Ltd,Open-architected web-enabled migration,Paris,France,276
46c1e5e6-c518-4849-9020-0371a1356c5a,Dougherty-Herrera,Public-key solution-oriented Internet solution,Berlin,Germany,303
fefb3e89-e820-41d2-b10d-0d0825166cd2,Davis LLC,Distributed static utilization,Paris,France,143
3f13b282-dd1d-42cf-a2e3-db41a249f0dc,"Miller, Burns and Chavez",Automated stable conglomeration,Paris,France,245
07e3c4d2-502e-4cf4-a787-4f2894195468,Mendoza PLC,Configurable object-oriented function,Rome,Italy,202
fad86256-49b7-482f-9ea5-74aa78b77cef,"Shepherd, Guerrero and Jones",Visionary multimedia groupware,Budapest,Hungary,39
6dd9499a-e269-4f7d-9074-3b621c39b1a4,Avila Ltd,Multi-channeled bi-directional solution,Vienna,Austria,224
807692f9-54d0-4aae-bf96-bcb88b20ecd5,Sutton LLC,Grass-roots exuding implementation,Prague,Czech Republic,275
9f7d2bd8-325b-478e-a11f-0de9356fe527,"Johnson, Williamson and Strickland",Reactive optimal hardware,Madrid,Spain,270
dcccafd2-1955-4370-9b29-817fb668b6d4,"Burton, Smith and Willis",Customizable 24hour definition,Warsaw,Poland,151
d3731303-def8-4dff-8dec-8cc069e4828f,Owens Ltd,Re-contextualized 24/7 challenge,London,United Kingdom,358
f64dcf2f-ac5c-46a5-9627-f0aaa8c33b08,Davis-Williams,Sharable holistic utilization,Paris,France,155
cfbba51e-f5da-4c37-8cde-1097e27394d2,Cummings-Green,Self-enabling systemic info-mediaries,Rome,Italy,410
e8fcf20f-354d-4bbe-beb0-d079dbb250f3,Thomas-Kennedy,Total dedicated implementation,Madrid,Spain,465
1f9c543b-ec1d-48e1-8dfa-50f8636c21ef,Choi PLC,Fully-configurable optimizing groupware,Berlin,Germany,305
f5086480-5019-4977-aeaa-bb79cccef28b,Ramos Ltd,Self-enabling incremental pricing structure,Prague,Czech Republic,453
d9eb9975-e591-4249-aaaf-51adc55e216d,Bell and Sons,Right-sized system-worthy Graphic Interface,Budapest,Hungary,127
68a1fdd2-9a98-4387-86d9-77a51d7ebdb7,Leonard and Sons,Intuitive non-volatile ability,Budapest,Hungary,340
cc24111d-c202-4e39-9413-d835a1d06086,"Jones, Jordan and Wiley",Reduced background model,Prague,Czech Republic,247
2e4ed7a2-8573-477a-8fff-4fc53bce5437,Keller and Sons,Reactive system-worthy algorithm,Amsterdam,Netherlands,485
3bdc4838-5004-42bf-b001-056b801c42f2,Scott-Campbell,User-friendly bandwidth-monitored system engine,Berlin,Germany,75
4b5787e1-a0e5-4a54-9846-511f705dc198,Blackwell PLC,Multi-layered modular monitoring,Warsaw,Poland,346
544c4065-8d0b-4bee-8350-bcab7aae7e95,"Knapp, Cline and Sullivan",Enterprise-wide multimedia knowledge user,Warsaw,Poland,396
67a8e901-baa5-4379-bff3-d548fe4fac7c,Hurley-Mcgee,Re-contextualized bifurcated structure,Warsaw,Poland,331
747a06c6-d742-4538-89a7-e1a3703ac08d,"Jefferson, Turner and Johnson",De-engineered multimedia alliance,Amsterdam,Netherlands,261
4f4bccf3-5fc6-4066-bbb5-08660e36f2e3,Morrison Group,Inverse 24/7 algorithm,London,United Kingdom,18
06d2f5a0-3423-4e41-bc6a-c0984a5f52f7,Carr-Obrien,Pre-emptive actuating capability,Berlin,Germany,232
b406908d-47dc-49a3-82f5-d3ccb60737ec,"Gutierrez, Farrell and Morris",Adaptive systematic Internet solution,Prague,Czech Republic,127
c9290d2c-07fc-469f-9d40-454ef3b977a1,Jones-Burton,Decentralized static framework,Warsaw,Poland,279
923eb4df-d198-49fc-bae5-4b8b9668f34e,Heath-Velasquez,Cross-group 5thgeneration contingency,Warsaw,Poland,393
e73bc426-383a-42f2-9cb8-d879b3956ca6,Shannon-Williams,Self-enabling regional help-desk,Amsterdam,Netherlands,308
bcb65470-e6cf-4655-9ae4-6a10a32079f5,Robinson Ltd,Optimized 6thgeneration contingency,Budapest,Hungary,467
e2516c38-2f6b-4921-a052-15bfaa337f37,Medina-Rivera,User-friendly global instruction set,Prague,Czech Republic,257
06315313-c3ed-4f56-8a51-2b07b9957ebe,Faulkner Inc,Visionary 24/7 software,Madrid,Spain,55
f2c177eb-b22b-415d-8771-7cc247d60feb,Boyer Group,Customizable dynamic functionalities,Rome,Italy,52
5469b73a-13d9-4889-bb7f-21e23390c573,Abbott-Bowman,Innovative stable utilization,Rome,Italy,261
9e843a35-2b7c-4b66-8d82-bb882eda1912,"Winters, Carr and Wilkinson",Persistent uniform encryption,Berlin,Germany,446
7c20f041-3c47-4d6e-9599-5ef03777927d,Parks-Morales,Synergized neutral Graphical User Interface,London,United Kingdom,114
99bf7d25-6530-4481-9056-bb4ed998aa8b,"Gray, Acevedo and Salazar",Decentralized impactful migration,Paris,France,99
2d84c1b0-44de-4da6-a8e4-326897974675,Le Inc,Multi-layered actuating hardware,Paris,France,100
6f155039-c85b-4cb2-a2fd-9e6c731eef9e,Hale LLC,Total incremental challenge,Vienna,Austria,356
47389618-dadb-493a-a249-8185b37c1e50,"Hall, Johnson and Hawkins",Function-based global parallelism,Warsaw,Poland,113
9db3ccf2-ca90-4ac5-939d-e18e147ba12a,Smith Group,Customer-focused hybrid synergy,Vienna,Austria,368
62781b5f-420b-4921-9a8a-76308dfdddb4,Gardner-Harris,Multi-lateral directional open architecture,Vienna,Austria,164
df6ff409-ec1b-4f9f-97a3-0c2edc6f8fec,"Morrison, Black and Fletcher",Horizontal zero-defect framework,Paris,France,302
b1bd57f4-32d9-4fdc-a713-85d991bdfd8d,"Harper, Pennington and Cervantes",Programmable zero-defect database,Budapest,Hungary,239
585e823e-6c8f-4b62-9c30-5fc509d7f9b5,"Roberson, Ramirez and Franklin",Persevering 6thgeneration frame,Prague,Czech Republic,167
0871dcf7-4c9d-43ea-b771-22b3cb5979b4,Clark-Garcia,Front-line real-time parallelism,London,United Kingdom,305
a1e8f789-7c69-4d23-9000-b3a30a60f714,Taylor Inc,Open-source 24hour success,London,United Kingdom,25
77ce488c-5bfe-4e1e-8e02-84b9443e2b11,"Brown, Jackson and Schneider",Assimilated optimal forecast,London,United Kingdom,33
26603b60-e17b-493c-b194-d7b4112e4055,Martinez-Frazier,Cross-group fault-tolerant strategy,Paris,France,287
13099c09-989b-4ec1-b903-9389d8116410,"Norris, Waters and Schmidt",Enterprise-wide bifurcated projection,Madrid,Spain,107
664e7ce9-4b3a-41ef-8dc6-1fed6ba0842a,"Long, Salas and Floyd",Managed 24/7 product,Paris,France,431
e029c42c-a7fa-465b-8ba6-f7a20e7f56fa,Rios Inc,Open-source homogeneous monitoring,Berlin,Germany,172
78e5d29e-81cf-4e8f-9931-41cefedcd50c,Moreno-Dominguez,Devolved disintermediate architecture,Amsterdam,Netherlands,22
be888266-ceb3-4571-accc-eff09481f80f,Flores and Sons,Team-oriented local frame,Warsaw,Poland,211
4f042765-b65c-4749-9ce6-1a4169e005bb,Williams-Holmes,Synergistic zero-defect open architecture,London,United Kingdom,18
830358f4-160b-475c-98c1-bd9e389593aa,Galvan and Sons,Programmable demand-driven middleware,Budapest,Hungary,164
0ff183e4-a138-4f94-9b0d-57b1035c2bfd,Silva PLC,Up-sized global hub,Amsterdam,Netherlands,17
1be76d91-ccc1-45b0-b583-7ec5883a3731,Myers-Jarvis,Face-to-face multi-tasking throughput,Budapest,Hungary,45
08277b06-c587-4142-a906-bbb94e3d6d2e,"Ramirez, Leonard and Schmidt",Expanded fresh-thinking parallelism,Amsterdam,Netherlands,484
7cff2ee2-2550-4224-9ded-2458e1bd0867,"Buck, Rice and Ruiz",Phased methodical open architecture,Vienna,Austria,162
4e17289a-ebaf-42c1-9cd4-095aa51ea1b1,Green-Richards,Open-architected system-worthy data-warehouse,Prague,Czech Republic,211
50db1f1c-c23a-4885-a9bd-f8f41b8f2769,Patton PLC,Implemented encompassing standardization,Amsterdam,Netherlands,479
7d4d2d59-7f0e-4a40-90fd-31272a600334,Fisher-Martinez,Universal heuristic product,Vienna,Austria,317
847c0a87-3206-4bc9-8785-33525cfa6952,Nelson LLC,Open-architected 24hour structure,Amsterdam,Netherlands,78
c7553c95-ee06-4b7d-9803-3ff3ef4507cd,"Cook, Orr and Stout",Configurable well-modulated open system,Rome,Italy,212
b0ef016c-ba2a-4d08-8fe9-4236669249d6,Nunez Ltd,Organized well-modulated matrices,Vienna,Austria,439
e605a647-f40a-4544-be9f-d78498758577,"Smith, Schwartz and Roman",Business-focused asymmetric system engine,Rome,Italy,113
f7d1b2a3-97aa-4fd3-bccd-f21c6c440cd2,Diaz Ltd,Up-sized contextually-based function,Amsterdam,Netherlands,171
bd916e1d-424d-4ec1-8f59-95807e5e604c,Lowery-Caldwell,Face-to-face solution-oriented architecture,Amsterdam,Netherlands,26
c64fb18e-8824-4ab2-b673-460010d690f5,Johnson LLC,Down-sized reciprocal encoding,Amsterdam,Netherlands,91
d7bdc050-969d-473d-82b2-cb2474c47ef8,Smith-Manning,Exclusive grid-enabled parallelism,Amsterdam,Netherlands,95
5a80a76c-7dc8-4c7d-b290-32d8d6a9b356,Brown and Sons,Open-architected global installation,Vienna,Austria,11
7d67bd84-a113-48cc-b16a-f54dc07885c9,Moore Ltd,Down-sized motivating approach,Prague,Czech Republic,380
a7c20851-47e5-4348-ac4c-6ff6e1dac786,Taylor-Huffman,Robust empowering utilization,London,United Kingdom,115
97a44dcd-5144-479b-bb2f-8a5046dabb7e,Anderson-Smith,Inverse next generation standardization,Warsaw,Poland,476
56fbcf54-e813-40cc-918b-003a6510f30e,"Foster, Ayers and Greene",Diverse reciprocal strategy,Prague,Czech Republic,158
54653027-973c-4fce-99e1-c6e5667218fa,"Smith, Gonzalez and Perez",Switchable background leverage,Paris,France,330
e787df3f-7de5-4334-9e6c-46b1f89e1df8,Whitaker and Sons,Self-enabling dynamic Graphical User Interface,Vienna,Austria,373
97c30ca2-53aa-439f-90f1-d0c6b74fe199,"Pena, Kirby and Hebert",Upgradable zero tolerance workforce,Warsaw,Poland,294
6d1a39b9-ec33-44f0-a1e7-d7d7c65d6ab6,Nash Inc,Intuitive well-modulated productivity,London,United Kingdom,375
25225fae-cab2-415e-ac9a-3c23a0d49777,Russell-Smith,Programmable scalable protocol,Budapest,Hungary,296
1f795b44-2d3e-4534-9c78-2a5448b6903e,Robinson-Yates,Optimized secondary standardization,Rome,Italy,33
617f3344-007c-433b-8e30-dd51db56690f,Morris Inc,Reactive user-facing encryption,Budapest,Hungary,41
ee7f420f-5a04-47ca-9e01-d3bc47e31612,Jones-Melendez,Fundamental foreground Internet solution,Warsaw,Poland,313
6f04f263-71a0-4960-bb52-6a2951aa08dd,Hodges PLC,Innovative didactic service-desk,Budapest,Hungary,88
6c7f3816-0ec7-4b13-b800-76837c00dbb7,Bartlett-Sanchez,Reduced tangible solution,London,United Kingdom,362
16e64c41-f547-41ba-b7cb-9e50f679fa31,Ochoa-Norton,Cloned dedicated paradigm,Amsterdam,Netherlands,333
a15bfb71-e898-4dbb-bea3-53c093e7d2bc,Allison-Vasquez,Grass-roots bi-directional application,Madrid,Spain,217
8740d060-78b7-4326-93ec-22fa7f05635a,Johnson Inc,Multi-layered bottom-line software,Warsaw,Poland,392
d67fe85c-92fd-494a-8780-05d725e909ea,Stout Inc,Configurable interactive strategy,Berlin,Germany,200
e0598359-ab81-4772-8e08-d98f43d3208a,"Osborn, Neal and Miller",Self-enabling disintermediate leverage,Berlin,Germany,100
0100539e-9048-4185-8cc8-e44e0092e0b5,Banks LLC,Exclusive dedicated info-mediaries,Warsaw,Poland,361
496f6b66-a0e3-4f2e-8afe-4ddd4cb0e3f8,Lopez-Patrick,Operative fresh-thinking algorithm,Paris,France,57
4c6f518d-436f-4bd8-9733-41e5954c8f28,"Brewer, Perry and Kennedy",Multi-channeled radical conglomeration,Berlin,Germany,364
7485fd5f-b0da-4bdd-83a3-31dac917d818,"Miller, Thompson and Terry",Polarized heuristic firmware,Paris,France,349
f6231e31-7ebd-41dc-b017-b714c83286c5,Wagner-Green,Persevering content-based pricing structure,Madrid,Spain,310
9d7089a0-c54a-449c-b9d7-ad9be4bc0d58,Chaney Ltd,Synergistic executive parallelism,Warsaw,Poland,435
a18bd224-b6b0-45dc-ab04-c8cf7a88c57b,Shepherd Group,Seamless maximized complexity,Budapest,Hungary,358
9a8a6111-50cd-4a3a-afa0-80d41b363397,"Miller, French and Williams",Configurable clear-thinking capacity,Rome,Italy,194
883998d5-9b39-40d4-bd39-49d4c295d93a,Pearson PLC,Phased client-server ability,Paris,France,348
ca871856-31fe-42f5-934c-976bbbacfff9,Barker LLC,User-centric zero tolerance service-desk,Prague,Czech Republic,98
3d2ca10c-c65e-476c-b88b-3745ae9b271f,Harding Group,Cross-group exuding toolset,Berlin,Germany,194
52c46c2c-0946-4785-a148-38291e6f2fdf,Martin PLC,Compatible encompassing hierarchy,Amsterdam,Netherlands,238
e60662bb-3701-4991-af59-9fbabe85ebe9,"Kennedy, Myers and Walsh",Distributed asynchronous Internet solution,Rome,Italy,118
9a57ba44-ae67-43c5-9b38-cb270944a1c1,Page Group,Front-line neutral toolset,Vienna,Austria,25
9509f90c-3dda-485c-87be-87f4168e4eab,Keller Group,Horizontal real-time monitoring,Paris,France,58
be1eb657-1ac7-4667-8f18-eb18bd0c1c03,"Moreno, Morton and Anderson",Managed dedicated hardware,Budapest,Hungary,355
51f05db3-4eca-4db1-b5d7-9b9b994f42e2,"Nguyen, Torres and Skinner",Advanced neutral projection,Vienna,Austria,267
791e4deb-b85d-4897-afbe-6585a5b9db49,Villa-Gilbert,Fully-configurable 24/7 definition,Amsterdam,Netherlands,53
dd56e008-6b95-41e0-8a16-bf89ad4b286c,"Davis, Erickson and Robinson",Proactive coherent leverage,Budapest,Hungary,447
6f63781c-c230-44e8-bc49-557376b6b0ef,"Baker, Neal and Cain",Centralized reciprocal standardization,Berlin,Germany,81
6f109382-315b-45e5-addd-a2c35cd8edf5,Adkins Ltd,Object-based human-resource utilization,Budapest,Hungary,493
d5c24864-31bf-4e4b-a0a3-a614349d21cb,Miles PLC,Total leadingedge definition,Warsaw,Poland,443
6a7c8e74-5b1d-419f-b8e1-2c27fda8134f,Mcclain and Sons,Secured cohesive paradigm,Prague,Czech Republic,377
0551a9d1-591c-43db-9439-ac72c36250fb,Smith-Pacheco,Sharable reciprocal artificial intelligence,Budapest,Hungary,66
5a4fd0f4-d3cc-417a-839f-29b254a1c15b,Austin and Sons,Multi-layered zero-defect extranet,Amsterdam,Netherlands,219
8fa47d4c-2c10-45aa-a6ab-e9a524676e63,"Collins, Morgan and Marsh",Grass-roots exuding analyzer,Rome,Italy,240
2cd5ecad-1084-427e-ac53-37f4d267188f,"Vega, Robinson and Morgan",Exclusive tangible collaboration,Amsterdam,Netherlands,225
03435f93-e87f-4031-9a62-c49845e60a0c,Brown PLC,Down-sized regional hub,London,United Kingdom,335
6c27d4fb-9d4a-4253-9361-79b014167a63,"Smith, Monroe and Richardson",Re-contextualized bifurcated workforce,Warsaw,Poland,198
02d34e41-d79e-472d-9777-7d8c1360e24f,Hunt LLC,Managed responsive infrastructure,Amsterdam,Netherlands,392
e0d821a2-70bc-417f-9584-352198e4281a,"Salas, Hancock and Hicks",Progressive systematic methodology,Rome,Italy,324
b769eb86-2703-4352-8297-adc464427877,"Vega, Ball and Melton",Upgradable asynchronous encryption,Berlin,Germany,147
71e00743-14cf-494c-9744-d97271c98c72,Davis-Sanders,Multi-channeled reciprocal orchestration,Rome,Italy,40
49ca5451-92a3-43f5-91fd-cd490b3d56e8,Patterson-Nielsen,Profound content-based knowledge user,London,United Kingdom,301
0d579083-f5dd-456a-9070-3ba71eb172f4,Wilson and Sons,Cloned systematic monitoring,Rome,Italy,229
26cacebb-7c1c-452d-a739-8415c19600c4,"Andrade, Clark and Powell",Re-contextualized zero tolerance concept,Paris,France,267
702898ed-313a-4bb5-aae2-612093aeecd8,Armstrong Group,Profound bandwidth-monitored flexibility,Prague,Czech Republic,433
1c205cb1-5c9c-44a8-88fc-1e3ee6649987,Thomas-Thomas,Right-sized neutral workforce,Amsterdam,Netherlands,199
2300a1c8-c2eb-47c0-9b1e-15b7b32fcce8,Butler-Gay,Front-line grid-enabled database,Berlin,Germany,213
5d1a71a8-b242-4b07-9cf4-9b07b369de07,"Nichols, Wallace and Johnson",Total systemic solution,Warsaw,Poland,191
10cf4287-78fd-44db-aea1-53069fe6b7b2,Bruce-Reynolds,Total hybrid capability,London,United Kingdom,52
cd9ba1f3-b185-4240-a7ea-0ed4e3d2086c,"Bailey, Schwartz and Carlson",Sharable encompassing attitude,Berlin,Germany,246
f258f041-cc12-48e8-ab65-d1cadde72dc9,Murphy-Allen,Persevering solution-oriented implementation,Warsaw,Poland,179
835ea497-da9d-4274-a612-e070cbf257a2,"Jones, Davis and Kelley",Phased hybrid workforce,Prague,Czech Republic,168
da6ac88d-1c41-4454-a9b2-7e458e7740a0,Bailey Ltd,Reverse-engineered systematic array,Vienna,Austria,404
55a124db-46c1-45c7-ad37-a8c48f9d9b8c,Whitney-Lee,Proactive optimal encoding,London,United Kingdom,294
3d461858-c3aa-4a66-b1d9-477241092fd3,Carpenter-Garcia,Compatible 6thgeneration alliance,London,United Kingdom,276
044e15cd-0023-4f02-be03-536c85e835a7,"Nielsen, Harrington and Valdez",Visionary contextually-based alliance,Vienna,Austria,464
1da6e22c-2908-4ae6-ad40-6ecce2b0e805,"Simon, Potter and Avery",Digitized bifurcated firmware,London,United Kingdom,335
ddc6232d-309c-4487-b992-e7059ff422ab,Nelson-Paul,De-engineered client-driven knowledge user,Budapest,Hungary,342
d7a465a7-ac3a-4c9d-8187-35f45fe73ece,Baker Ltd,Customer-focused transitional standardization,Amsterdam,Netherlands,229
5f1a6e8d-6aa2-47d2-ae88-8dad137e6a17,"Owen, Riddle and Martin",Triple-buffered responsive Internet solution,London,United Kingdom,258
e2257d65-1289-48d5-9d5b-6eea7257fe1c,Reed-Flores,Pre-emptive intermediate utilization,Paris,France,301
fd617e4f-71d2-4ead-9692-a7da708dc706,Smith LLC,Triple-buffered exuding product,Amsterdam,Netherlands,159
b3651e6f-6ec1-4471-b714-53694d91222f,"Ball, Cunningham and Martinez",Switchable solution-oriented adapter,Budapest,Hungary,102
4d265803-867a-4f0e-b066-805e89ced59a,Wilson-Collins,Secured intermediate definition,Budapest,Hungary,377
629e4576-3738-480a-a48d-dbc989b9248d,"Marshall, Krause and King",Configurable scalable array,Berlin,Germany,185
13038110-d170-4fd4-a8b0-2495d41c4602,Luna-Garcia,Fundamental executive application,Vienna,Austria,68
37096563-8983-4552-9c05-b90747f28323,Carlson-Garcia,Horizontal systemic hierarchy,Paris,France,499
9006d4e8-68ed-4625-bfa2-59b5e62a0473,Smith Inc,Open-architected web-enabled forecast,Amsterdam,Netherlands,451
d247dd7e-d3f2-4fd7-a012-93c3d60c89aa,"Lawrence, Thompson and Bradley",Focused intangible complexity,Amsterdam,Netherlands,480
7a4903a5-e59c-42b1-9673-da834e56efc1,Long Group,Customer-focused 4thgeneration database,Paris,France,270
51e7bab5-2618-4bf1-93df-90b71b568334,Schneider Group,Reduced system-worthy conglomeration,Berlin,Germany,380
ffddbc4f-0dff-4d9a-82ee-d5794af056c1,Jensen-Brown,Managed web-enabled function,Berlin,Germany,380
fdf3f255-856e-466a-baa0-64e74c259a69,Hammond Group,Seamless real-time parallelism,Madrid,Spain,143
d10f32bc-0ae1-484a-85c4-1472de051036,"Parker, Hoover and Smith",Mandatory reciprocal access,Berlin,Germany,85
be68d4c7-fabc-4e5d-9e99-abdb0ceb9a56,Townsend Ltd,Phased composite groupware,Vienna,Austria,118
7e953116-989f-4813-b502-d83f45af5701,"Suarez, Trujillo and Stark",Extended bandwidth-monitored budgetary management,Warsaw,Poland,125
